"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"737",0,1,0,0,2,0,0,2,0,2,2
"738",0,0,0,0,0,0,0,0,0,1,1
"739",0,1,0,0,1,0,1,2,0,1,1
"740",0,0,0,0,1,0,0,1,0,1,1
"741",0,2,0,0,1,1,1,1,1,3,2
"742",0,1,1,0,2,1,1,3,2,2,0
"743",0,1,0,0,1,0,1,1,0,1,1
"744",0,0,0,0,0,0,0,0,0,0,0
"745",0,0,0,0,0,0,0,0,0,0,0
"746",0,0,0,0,0,0,0,0,0,0,0
"747",0,0,0,0,0,0,0,0,0,0,0
"748",0,1,0,0,1,0,1,1,0,4,4
"749",0,2,0,0,1,0,1,1,0,2,2
"750",0,3,0,0,4,0,1,3,1,4,3
"751",0,3,2,0,3,1,2,1,2,3,1
"752",0,0,0,0,0,0,0,0,0,0,0
"753",0,1,0,0,0,0,0,0,1,1,0
"754",0,1,0,0,2,0,1,2,0,2,2
"755",1,2,1,1,1,2,1,1,2,1,-1
"756",0,0,0,0,0,0,0,1,0,2,2
"757",0,0,0,0,0,0,0,0,0,0,0
"758",0,0,0,0,1,0,0,1,0,1,1
"759",0,0,0,0,0,0,0,0,0,0,0
"760",0,0,0,0,0,0,0,0,0,0,0
"761",0,0,0,0,0,0,0,0,0,0,0
"762",0,2,0,0,1,0,0,1,0,1,1
"763",0,0,0,0,0,0,0,1,0,2,2
"764",0,1,0,0,2,0,1,0,0,2,2
"765",0,0,0,0,1,0,0,1,0,2,2
"766",0,0,0,0,0,0,0,0,0,0,0
"767",0,0,0,0,1,0,0,1,0,1,1
"768",0,1,0,0,1,0,1,1,0,1,1
"769",0,0,0,0,0,0,0,0,0,1,1
"770",0,1,1,1,1,1,0,1,2,1,-1
"771",0,2,0,0,2,0,0,2,0,2,2
"772",0,0,0,0,0,0,0,0,0,0,0
"773",0,0,0,0,1,0,1,1,0,2,2
"774",0,1,0,0,1,0,0,1,0,1,1
"775",0,0,0,0,0,0,0,1,0,1,1
"776",0,0,0,0,0,0,0,0,0,0,0
"777",0,0,0,0,0,0,0,0,0,0,0
"778",0,1,0,0,1,0,1,2,0,1,1
"779",0,1,0,0,1,0,1,1,0,2,2
"780",0,0,0,0,0,0,0,0,0,0,0
"781",0,0,0,0,0,0,0,0,0,0,0
"782",0,0,0,0,0,0,0,0,0,0,0
"783",0,2,0,0,2,0,1,2,0,2,2
"784",0,1,0,0,2,0,1,2,0,2,2
"785",0,0,0,0,0,0,0,1,0,0,0
"786",0,1,0,0,2,0,1,2,0,2,2
"787",0,2,0,0,2,0,1,1,0,3,3
"788",0,1,0,0,1,0,1,1,0,2,2
"789",0,2,0,0,2,0,2,2,0,3,3
"790",0,0,0,0,0,0,0,0,0,0,0
"791",0,0,0,0,0,0,0,0,0,0,0
"792",0,0,0,0,0,0,0,0,0,0,0
"793",0,0,0,0,0,0,0,0,0,0,0
"794",0,0,0,0,0,0,0,0,0,0,0
"795",0,0,0,0,2,0,0,1,0,2,2
"796",0,0,0,0,0,0,0,0,0,0,0
"797",0,0,0,0,0,0,0,0,0,0,0
"798",0,0,0,0,0,0,0,0,0,0,0
"799",0,0,0,0,0,0,0,0,0,0,0
"800",0,0,0,0,0,0,0,0,0,0,0
"801",0,0,0,0,1,0,0,0,0,1,1
"802",0,2,0,0,2,0,2,2,0,2,2
"803",0,1,0,0,1,0,1,1,0,1,1
"804",0,1,0,0,1,0,0,1,0,1,1
"805",0,1,0,0,1,0,1,1,0,1,1
"806",0,0,0,0,0,0,0,0,0,0,0
"807",0,0,0,0,0,0,0,1,0,1,1
"808",0,1,0,0,1,0,1,2,0,1,1
"809",0,0,0,0,0,0,0,0,0,0,0
"810",1,0,0,0,0,1,0,0,1,0,-1
