,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
934,0,1,0,0,1,0,0,1,0,1,1,Ikigai
935,0,1,0,0,1,0,0,1,0,4,4,Ikigai
936,0,1,0,0,1,0,1,1,0,1,1,Ikigai
937,1,1,1,0,1,1,0,1,1,1,0,Ikigai
938,0,2,0,0,2,0,1,2,0,3,3,Ikigai
939,0,0,0,0,1,0,0,1,0,1,1,Ikigai
940,0,1,0,0,0,0,0,0,0,0,0,Ikigai
941,0,0,0,0,0,0,0,0,0,0,0,Ikigai
942,0,1,0,0,1,0,1,1,0,1,1,Ikigai
943,0,1,0,0,0,0,0,0,0,0,0,Ikigai
944,0,2,1,0,1,0,1,1,1,1,0,Ikigai
945,0,0,0,0,0,0,0,0,0,1,1,Ikigai
946,0,1,0,0,1,0,1,1,0,1,1,Ikigai
947,0,1,0,0,1,0,1,2,0,1,1,Ikigai
948,0,0,0,0,0,0,0,0,0,0,0,Ikigai
949,0,1,0,0,1,0,1,1,0,1,1,Ikigai
950,0,0,0,0,0,0,0,0,0,0,0,Ikigai
951,0,0,0,0,1,0,1,1,0,1,1,Ikigai
952,0,0,0,0,0,0,0,0,0,0,0,Ikigai
953,0,0,0,0,0,0,0,0,0,0,0,Ikigai
954,0,1,0,0,1,0,1,1,0,1,1,Ikigai
955,0,1,0,0,1,0,1,1,0,1,1,Ikigai
956,0,1,0,0,1,0,1,1,0,1,1,Ikigai
957,0,0,0,0,0,0,0,0,0,0,0,Ikigai
958,0,2,0,0,2,0,2,3,1,2,1,Ikigai
959,0,0,0,0,0,0,0,0,0,0,0,Ikigai
