,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
423,1,2,0,1,1,1,1,1,1,2,1,Subconcious
424,0,1,0,0,1,0,1,2,0,3,3,Subconcious
425,0,1,0,1,1,0,0,1,0,1,1,Subconcious
426,0,0,0,0,0,0,0,0,0,2,2,Subconcious
427,0,0,0,0,0,0,0,0,0,0,0,Subconcious
428,0,0,0,0,0,1,0,2,1,5,4,Subconcious
429,0,0,0,0,0,0,0,1,1,1,0,Subconcious
430,0,0,0,0,2,0,1,0,0,4,4,Subconcious
431,1,2,0,0,2,1,1,1,1,5,4,Subconcious
432,0,0,0,0,0,0,0,0,0,0,0,Subconcious
433,1,1,1,1,2,1,1,3,1,2,1,Subconcious
434,0,0,0,0,0,0,0,0,0,1,1,Subconcious
435,0,1,0,1,0,0,0,0,0,1,1,Subconcious
436,1,2,3,2,1,2,1,1,2,1,-1,Subconcious
437,0,2,0,1,2,0,0,2,0,3,3,Subconcious
438,0,0,0,0,1,0,0,1,0,3,3,Subconcious
439,0,3,0,0,2,0,1,2,0,2,2,Subconcious
440,0,1,0,0,1,0,1,1,0,1,1,Subconcious
441,1,5,1,1,5,0,1,6,1,8,7,Subconcious
442,0,1,0,0,0,1,0,1,1,1,0,Subconcious
443,0,1,0,0,1,0,1,2,0,1,1,Subconcious
444,0,2,0,0,2,0,1,3,0,4,4,Subconcious
445,0,0,0,1,0,0,0,0,0,1,1,Subconcious
446,0,2,0,1,1,0,0,4,2,5,3,Subconcious
447,0,1,0,1,1,1,1,1,1,1,0,Subconcious
448,1,1,0,0,0,0,0,2,1,1,0,Subconcious
449,1,0,0,1,0,3,0,1,4,1,-3,Subconcious
450,0,3,0,0,2,0,1,1,0,4,4,Subconcious
451,0,2,0,0,3,0,1,3,0,5,5,Subconcious
452,0,0,0,0,1,0,0,1,0,2,2,Subconcious
453,0,0,0,0,1,0,0,1,0,1,1,Subconcious
454,0,1,0,0,2,0,1,3,0,5,5,Subconcious
455,0,1,1,1,0,1,0,1,1,2,1,Subconcious
456,0,2,0,0,3,0,0,3,0,4,4,Subconcious
457,0,0,0,0,0,0,0,0,0,0,0,Subconcious
458,0,3,0,1,2,0,1,3,0,3,3,Subconcious
459,0,0,0,1,0,0,0,1,2,4,2,Subconcious
460,0,1,0,0,1,0,0,1,0,3,3,Subconcious
461,0,0,0,0,1,0,1,1,0,2,2,Subconcious
462,1,2,1,0,2,1,0,2,1,2,1,Subconcious
463,0,1,0,0,1,0,0,1,0,2,2,Subconcious
464,0,1,0,0,1,0,1,2,0,2,2,Subconcious
465,0,1,0,0,1,0,1,1,0,2,2,Subconcious
466,0,1,0,0,1,0,1,1,0,2,2,Subconcious
467,0,1,0,0,1,0,1,2,0,2,2,Subconcious
468,0,1,0,2,1,1,1,1,1,2,1,Subconcious
469,2,2,2,1,1,1,1,1,2,1,-1,Subconcious
470,0,0,0,0,1,0,1,1,0,1,1,Subconcious
471,0,2,0,0,3,0,0,1,1,3,2,Subconcious
472,0,0,0,1,0,0,0,0,0,1,1,Subconcious
473,0,2,0,0,2,0,1,3,0,2,2,Subconcious
474,0,0,0,0,0,0,0,0,0,2,2,Subconcious
475,1,2,1,2,1,0,0,2,0,2,2,Subconcious
476,0,2,0,0,2,1,0,2,1,2,1,Subconcious
477,0,1,0,0,1,0,1,1,1,2,1,Subconcious
478,0,1,0,0,0,1,0,2,1,2,1,Subconcious
479,0,0,0,0,0,0,0,0,0,2,2,Subconcious
480,0,2,0,0,1,0,1,1,0,3,3,Subconcious
481,0,0,0,1,2,0,0,3,0,3,3,Subconcious
482,0,1,0,0,1,0,1,1,0,1,1,Subconcious
483,2,1,0,3,0,2,0,0,3,0,-3,Subconcious
484,0,0,0,1,0,0,0,0,0,0,0,Subconcious
485,0,0,0,0,1,0,1,1,0,2,2,Subconcious
486,0,0,0,0,1,0,0,1,0,2,2,Subconcious
487,0,1,0,0,0,1,0,1,1,1,0,Subconcious
488,0,0,0,0,0,0,0,0,0,0,0,Subconcious
489,0,0,0,0,1,0,0,0,0,1,1,Subconcious
490,0,1,0,0,0,0,1,3,0,4,4,Subconcious
491,0,1,0,0,0,0,1,0,0,0,0,Subconcious
492,0,0,0,0,0,0,0,0,0,0,0,Subconcious
493,0,0,0,1,2,0,1,4,0,4,4,Subconcious
494,0,1,0,0,1,0,0,3,0,3,3,Subconcious
495,0,0,0,0,1,0,0,1,0,2,2,Subconcious
496,0,0,0,0,0,0,0,1,0,1,1,Subconcious
497,0,2,0,1,0,0,0,0,1,0,-1,Subconcious
498,0,0,0,0,0,1,0,0,1,0,-1,Subconcious
499,1,1,1,1,0,1,0,1,1,3,2,Subconcious
500,0,0,0,0,0,0,0,0,0,0,0,Subconcious
501,0,0,0,0,0,0,0,1,1,1,0,Subconcious
502,0,0,0,2,1,0,0,2,0,1,1,Subconcious
