,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
4006,0,0,0,0,1,0,0,1,0,1,1,The Secret
4007,0,0,0,0,0,0,0,0,0,0,0,The Secret
4008,0,0,0,1,1,0,1,2,0,3,3,The Secret
4009,0,0,0,0,0,0,0,0,0,0,0,The Secret
4010,0,1,0,0,1,1,1,1,0,1,1,The Secret
4011,0,1,0,0,1,0,1,1,0,1,1,The Secret
4012,0,0,0,0,0,0,0,0,0,0,0,The Secret
4013,0,0,0,0,0,0,0,0,0,0,0,The Secret
4014,0,0,0,1,0,0,0,0,0,0,0,The Secret
4015,0,1,0,0,1,0,1,1,0,1,1,The Secret
4016,0,0,0,0,0,0,0,0,0,0,0,The Secret
4017,0,1,0,0,1,0,1,1,0,1,1,The Secret
4018,0,0,0,0,1,0,0,1,0,1,1,The Secret
4019,0,0,0,0,0,0,0,0,0,0,0,The Secret
4020,0,0,0,0,0,0,0,0,0,0,0,The Secret
4021,0,0,0,0,0,0,0,0,0,0,0,The Secret
4022,0,2,0,0,1,0,0,1,0,1,1,The Secret
4023,0,0,0,0,0,0,0,0,0,0,0,The Secret
4024,0,0,0,0,1,0,0,1,0,2,2,The Secret
4025,0,0,0,0,0,0,0,0,0,0,0,The Secret
4026,0,0,0,0,0,0,0,0,0,0,0,The Secret
4027,0,0,0,0,0,0,0,0,0,0,0,The Secret
4028,0,0,0,0,0,0,0,0,0,0,0,The Secret
4029,0,0,0,0,1,0,0,0,0,1,1,The Secret
4030,0,0,0,0,0,0,0,0,0,1,1,The Secret
4031,0,0,0,0,0,0,0,0,0,0,0,The Secret
4032,0,0,0,0,0,0,0,0,0,0,0,The Secret
4033,0,0,0,0,0,0,0,0,0,0,0,The Secret
4034,0,0,0,0,0,0,0,0,0,0,0,The Secret
4035,0,0,0,0,0,0,0,0,0,0,0,The Secret
4036,0,2,0,1,2,0,0,2,0,5,5,The Secret
4037,0,0,0,0,0,0,0,0,0,0,0,The Secret
4038,0,0,0,0,0,0,0,0,0,0,0,The Secret
4039,0,1,0,0,1,0,1,1,0,1,1,The Secret
4040,0,0,0,0,0,0,0,0,0,0,0,The Secret
4041,0,0,0,0,0,0,0,0,0,1,1,The Secret
4042,1,2,0,0,2,1,2,3,1,3,2,The Secret
4043,0,0,0,0,0,0,0,0,0,0,0,The Secret
4044,0,1,0,0,1,0,1,1,0,1,1,The Secret
4045,0,1,0,0,1,0,1,1,0,1,1,The Secret
4046,0,0,0,0,0,0,0,0,0,0,0,The Secret
4047,0,0,0,0,0,0,0,1,0,0,0,The Secret
4048,0,0,0,0,0,0,0,0,0,0,0,The Secret
4049,0,1,0,0,2,0,0,0,0,4,4,The Secret
4050,0,1,0,0,0,0,0,0,0,0,0,The Secret
4051,0,1,0,0,1,0,1,1,0,1,1,The Secret
4052,0,1,0,0,0,0,0,0,0,1,1,The Secret
4053,0,0,0,0,0,0,0,0,0,0,0,The Secret
4054,0,0,0,1,1,0,0,1,0,2,2,The Secret
4055,0,0,0,0,1,0,0,2,0,3,3,The Secret
4056,0,1,0,0,1,0,1,1,0,1,1,The Secret
4057,0,0,0,0,1,0,0,1,0,1,1,The Secret
4058,0,0,0,0,0,0,0,0,0,1,1,The Secret
4059,1,0,1,1,2,1,0,2,2,3,1,The Secret
4060,0,0,0,0,0,0,0,1,0,0,0,The Secret
4061,0,2,0,0,1,0,1,1,0,6,6,The Secret
4062,0,0,0,0,0,0,0,0,0,1,1,The Secret
4063,0,0,0,0,0,0,0,0,0,1,1,The Secret
4064,0,0,0,0,0,0,0,0,0,0,0,The Secret
4065,0,0,0,0,0,0,0,0,0,0,0,The Secret
4066,1,2,1,1,1,1,1,1,1,3,2,The Secret
4067,0,0,0,0,0,0,0,0,1,1,0,The Secret
4068,0,0,0,0,0,0,0,0,0,0,0,The Secret
4069,0,0,0,0,1,0,0,1,0,1,1,The Secret
4070,0,0,0,0,1,0,0,2,0,2,2,The Secret
4071,0,0,0,0,0,0,0,0,1,0,-1,The Secret
4072,0,0,0,0,0,0,0,0,0,0,0,The Secret
4073,0,0,0,1,3,1,0,4,0,4,4,The Secret
