,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
325,0,0,0,0,0,0,0,0,0,0,0,Death
326,0,0,0,0,1,0,0,0,0,1,1,Death
327,0,0,0,0,0,0,0,0,0,0,0,Death
328,0,0,0,0,0,0,0,0,0,0,0,Death
329,0,0,0,0,0,0,0,0,0,1,1,Death
330,0,0,0,0,0,0,0,0,0,0,0,Death
331,0,0,0,0,0,0,0,0,0,0,0,Death
332,1,0,0,1,1,0,0,1,0,2,2,Death
333,0,2,0,0,1,0,1,1,0,2,2,Death
334,0,0,0,0,0,0,0,0,0,0,0,Death
335,1,0,0,0,0,0,0,0,1,2,1,Death
336,0,0,0,0,0,0,0,0,0,1,1,Death
337,1,1,1,1,0,1,1,1,1,2,1,Death
338,0,0,0,0,0,0,0,0,0,0,0,Death
339,1,1,1,2,0,2,1,1,2,3,1,Death
340,1,1,1,2,1,2,2,1,2,1,-1,Death
341,0,0,0,0,0,0,0,0,0,0,0,Death
342,0,2,0,1,2,0,0,2,0,5,5,Death
343,1,2,1,1,1,1,2,0,1,1,0,Death
344,1,1,1,1,0,1,1,0,1,1,0,Death
345,0,1,0,1,0,0,0,0,0,0,0,Death
346,1,4,0,1,2,1,1,2,1,3,2,Death
347,2,2,1,2,0,1,1,0,2,1,-1,Death
348,0,0,0,0,0,0,0,0,0,1,1,Death
349,1,2,1,1,1,0,0,1,0,1,1,Death
350,0,0,0,0,0,0,0,0,0,0,0,Death
351,2,2,1,1,2,1,1,1,2,3,1,Death
352,0,0,0,0,0,0,0,0,0,1,1,Death
353,0,1,0,0,0,0,0,0,0,2,2,Death
354,0,0,0,0,0,0,0,0,0,0,0,Death
355,1,1,1,2,1,1,0,1,2,2,0,Death
356,0,0,0,0,0,0,0,0,0,0,0,Death
357,0,2,1,0,1,0,2,2,0,3,3,Death
358,0,1,0,0,1,0,0,0,0,3,3,Death
359,1,2,1,1,1,1,3,4,1,5,4,Death
360,1,1,1,1,0,1,1,0,1,0,-1,Death
361,0,0,0,0,1,0,0,1,0,1,1,Death
362,0,0,0,0,0,0,0,0,0,0,0,Death
363,0,0,0,0,0,0,0,0,0,0,0,Death
364,2,1,1,2,0,1,1,0,2,1,-1,Death
365,0,0,0,0,0,0,0,1,0,2,2,Death
366,0,0,0,0,0,0,0,0,0,0,0,Death
367,1,0,0,0,0,0,0,0,1,0,-1,Death
368,0,2,0,0,1,0,0,0,1,2,1,Death
369,0,1,0,0,1,0,1,1,0,1,1,Death
370,1,1,1,2,1,1,1,2,1,5,4,Death
371,0,1,0,0,1,0,1,1,0,1,1,Death
372,0,1,0,0,1,0,1,1,0,1,1,Death
373,0,0,0,0,1,0,0,2,0,2,2,Death
374,0,0,0,1,0,1,0,0,1,0,-1,Death
375,0,0,0,0,0,0,0,0,0,0,0,Death
376,0,0,0,0,0,0,0,0,0,0,0,Death
377,0,1,0,1,0,1,0,0,1,2,1,Death
378,0,0,0,0,0,0,0,0,0,0,0,Death
379,0,1,0,0,1,0,1,0,0,2,2,Death
380,1,1,1,1,1,1,1,0,1,2,1,Death
381,0,0,0,0,0,0,0,0,0,0,0,Death
382,0,0,0,1,0,1,0,1,1,0,-1,Death
383,0,0,0,0,0,0,0,1,0,1,1,Death
384,1,1,1,1,1,1,1,1,1,1,0,Death
385,1,0,0,1,2,1,0,0,2,1,-1,Death
386,1,1,1,1,0,1,1,1,1,1,0,Death
387,1,1,1,2,0,2,1,1,2,1,-1,Death
388,0,1,0,0,0,0,0,2,0,3,3,Death
389,1,1,1,2,0,1,1,0,1,0,-1,Death
390,0,0,0,0,0,0,0,0,0,0,0,Death
391,0,1,0,0,1,0,0,0,0,3,3,Death
392,0,1,0,1,2,0,2,3,0,3,3,Death
393,0,0,0,0,0,0,0,0,0,0,0,Death
394,1,2,1,3,1,1,1,1,2,3,1,Death
395,1,2,1,1,0,1,2,0,1,0,-1,Death
396,1,3,1,1,1,1,2,1,1,2,1,Death
397,0,0,0,1,0,1,0,0,1,0,-1,Death
398,1,2,1,1,0,1,1,0,1,1,0,Death
399,0,0,0,0,1,0,0,2,0,2,2,Death
400,0,0,0,0,0,0,0,0,0,0,0,Death
401,1,1,1,1,0,1,1,0,1,0,-1,Death
402,0,1,0,0,1,0,1,1,0,1,1,Death
403,0,0,0,0,0,0,0,0,0,0,0,Death
404,1,1,1,1,0,1,1,1,1,1,0,Death
405,0,0,0,0,0,0,0,0,0,1,1,Death
406,0,0,0,0,0,0,0,0,0,0,0,Death
407,0,0,0,0,0,0,0,0,0,1,1,Death
408,1,2,1,1,0,1,2,0,1,1,0,Death
409,0,0,0,1,0,1,0,1,1,2,1,Death
410,0,1,0,0,1,0,0,0,0,2,2,Death
411,2,2,2,2,1,1,1,0,2,1,-1,Death
412,0,1,0,0,0,0,0,0,0,0,0,Death
413,0,0,0,0,0,0,0,1,0,2,2,Death
414,0,0,0,0,0,0,0,1,0,1,1,Death
415,0,0,0,0,0,0,1,0,0,0,0,Death
416,0,0,0,0,0,0,0,0,0,0,0,Death
417,0,0,0,0,0,1,0,0,0,0,0,Death
418,1,1,1,1,0,1,1,0,1,1,0,Death
419,0,0,0,0,0,0,0,1,0,1,1,Death
420,0,0,0,0,0,0,0,0,0,0,0,Death
421,2,0,1,2,0,1,1,1,2,1,-1,Death
422,1,2,1,1,1,1,2,1,1,1,0,Death
423,0,1,0,0,2,0,0,3,0,3,3,Death
424,0,0,0,0,0,0,0,0,0,0,0,Death
425,0,0,0,0,0,0,0,0,0,0,0,Death
426,2,2,2,3,1,2,2,1,2,1,-1,Death
427,0,1,0,0,0,0,0,0,0,5,5,Death
428,2,1,2,2,0,1,1,1,2,2,0,Death
429,0,0,0,1,1,1,1,1,2,1,-1,Death
430,0,3,0,0,2,0,2,2,0,3,3,Death
431,0,0,0,0,0,0,0,0,0,2,2,Death
432,0,0,0,0,0,0,0,0,0,0,0,Death
433,0,0,0,0,0,0,0,1,0,1,1,Death
434,1,1,1,1,1,1,3,1,1,1,0,Death
435,0,0,0,0,0,0,0,1,0,0,0,Death
436,0,1,0,1,1,1,0,1,1,2,1,Death
437,1,0,1,0,0,0,0,0,1,0,-1,Death
438,1,1,1,1,1,1,2,3,1,2,1,Death
439,0,0,0,0,0,0,0,0,0,0,0,Death
440,1,1,1,1,0,1,1,0,1,2,1,Death
441,1,2,1,2,1,1,1,0,1,1,0,Death
442,0,0,1,0,0,1,0,0,0,1,1,Death
443,0,1,0,0,2,0,1,2,0,2,2,Death
444,1,1,1,1,0,1,1,0,1,0,-1,Death
