,score,Book
788,0,Death
789,-1,Death
790,1,Death
791,0,Death
792,2,Death
793,-1,Death
794,1,Death
795,0,Death
796,0,Death
797,2,Death
798,0,Death
799,-2,Death
800,-1,Death
801,-1,Death
802,0,Death
803,0,Death
804,2,Death
805,0,Death
806,-2,Death
807,0,Death
808,1,Death
809,-2,Death
810,1,Death
811,2,Death
812,-1,Death
813,-1,Death
814,-1,Death
815,0,Death
816,1,Death
817,4,Death
818,0,Death
819,2,Death
820,3,Death
821,0,Death
822,2,Death
823,3,Death
824,2,Death
825,-1,Death
826,0,Death
827,3,Death
828,1,Death
829,0,Death
830,1,Death
831,0,Death
832,0,Death
833,-1,Death
834,1,Death
835,0,Death
836,3,Death
837,1,Death
838,0,Death
839,2,Death
840,1,Death
841,0,Death
842,1,Death
843,1,Death
844,0,Death
845,0,Death
846,0,Death
847,1,Death
848,0,Death
849,1,Death
850,-3,Death
851,-2,Death
852,0,Death
853,0,Death
854,1,Death
855,0,Death
856,0,Death
857,1,Death
858,0,Death
859,0,Death
860,1,Death
861,2,Death
862,3,Death
863,5,Death
864,0,Death
865,-1,Death
866,0,Death
867,0,Death
868,2,Death
869,-1,Death
870,1,Death
871,0,Death
872,0,Death
873,1,Death
874,0,Death
875,1,Death
876,0,Death
877,0,Death
878,3,Death
879,2,Death
880,0,Death
881,1,Death
882,0,Death
883,7,Death
884,1,Death
885,2,Death
886,-2,Death
887,2,Death
888,0,Death
889,1,Death
890,-6,Death
891,3,Death
892,1,Death
893,4,Death
894,0,Death
895,2,Death
896,2,Death
897,-1,Death
898,2,Death
899,-1,Death
900,0,Death
901,1,Death
902,1,Death
903,1,Death
904,1,Death
905,0,Death
906,1,Death
907,3,Death
908,1,Death
909,0,Death
910,1,Death
911,1,Death
912,0,Death
913,2,Death
914,0,Death
915,0,Death
916,0,Death
917,0,Death
918,2,Death
919,-1,Death
920,0,Death
921,1,Death
922,0,Death
923,1,Death
924,0,Death
925,1,Death
926,0,Death
927,1,Death
928,0,Death
929,0,Death
930,0,Death
931,0,Death
932,1,Death
933,3,Death
934,0,Death
935,1,Death
936,1,Death
937,0,Death
938,0,Death
939,0,Death
940,0,Death
941,0,Death
942,0,Death
943,0,Death
944,18,Ikigai
945,-1,Ikigai
946,16,Ikigai
947,10,Ikigai
948,2,Ikigai
949,0,Ikigai
950,1,Ikigai
951,3,Ikigai
952,4,Ikigai
953,9,Ikigai
954,4,Ikigai
955,23,Ikigai
956,4,Ikigai
957,3,Ikigai
958,1,Ikigai
959,0,Ikigai
960,3,Ikigai
961,11,Ikigai
962,19,Ikigai
963,-1,Ikigai
964,18,Ikigai
965,6,Ikigai
966,4,Ikigai
967,2,Ikigai
968,1,Ikigai
969,2,Ikigai
970,9,Ikigai
971,2,Ikigai
972,6,Ikigai
973,7,Ikigai
974,1,Ikigai
975,0,Ikigai
976,4,Ikigai
977,2,Ikigai
978,2,Ikigai
979,4,Ikigai
980,14,Ikigai
981,3,Ikigai
982,1,Ikigai
983,3,Ikigai
984,9,Ikigai
985,4,Ikigai
986,4,Ikigai
987,14,Ikigai
988,5,Ikigai
989,2,Ikigai
990,2,Ikigai
991,1,Ikigai
992,6,Ikigai
993,1,Ikigai
994,4,Ikigai
995,6,Ikigai
996,3,Ikigai
997,3,Ikigai
998,5,Ikigai
999,5,Ikigai
1000,6,Ikigai
1001,1,Ikigai
1002,4,Ikigai
1003,4,Ikigai
1004,2,Ikigai
1005,3,Ikigai
1006,4,Ikigai
1007,5,Ikigai
1008,4,Ikigai
1009,3,Ikigai
1010,0,Ikigai
1011,5,Ikigai
1012,5,Ikigai
1013,6,Ikigai
1014,2,Ikigai
1015,3,Ikigai
1016,2,Ikigai
1017,8,Ikigai
1018,4,Ikigai
1019,2,Ikigai
1020,0,Ikigai
1021,3,Ikigai
1022,2,Ikigai
1023,0,Ikigai
1024,3,Ikigai
